Domain	 ,Receive Time	 ,Serial# 	 ,Type	 ,Threat/Content Type	 ,Config Version	 ,Generate Time	 ,Virtual System	 ,Event ID	 ,stage	 ,auth_method	 ,tunnel_type	 ,Source User	 ,srcregion	 ,machinename	 , Public IP	 ,public_ipv6	 ,private_ip	 ,private_ipv6	 ,hostid	 ,serialnumber	 ,client_ver	 ,client_os	 ,client_os_ver	 ,Repeat Count	 ,reason	 ,error	 ,Description	 ,status	 ,location	 ,login_duration	 ,connect_method	 ,error_code	 ,portal	 ,Sequence Number	 ,Action Flags
0	 ,09/11/21 15:01	 ,10108010159	 ,GLOBALPROTECT	 ,0	 ,0	 ,09/11/21 15:01	 ,vsys1	 ,unknown	 ,logout	 ,	 ,	 ,aisdnt\gf987654	 ,US	 ,123-DELL100000	 ,Unique Public IP	 ,	 ,Internal IP	 ,	 ,950a747d-cce4-483c-aaac-9aff4bfc53db	 ,HMT1893	 ,2049.5.0	 ,Windows	 ,Microsoft Windows 10 Pro Education , 64-bit	 ,1		 ,	 ,user session expired	 ,success	 ,	 ,6.35E+18	 ,	 ,0	 ,Student-GW	 ,7.00E+18	 ,0x8000000000000000
0	 ,09/11/21 15:01	 ,10108010159	 ,GLOBALPROTECT	 ,0	 ,0	 ,09/11/21 15:01	 ,vsys1	 ,unknown	 ,logout	 ,	 ,	 ,aisdnt\GL123456	 ,US	 ,123-DELL100001	 ,Unique Public IP	 ,	 ,Internal IP	 ,	 ,25976dd2-bdb4-49eb-b623-1c405fa27588	 ,D62Z373	 ,2049.5.0	 ,Windows	 ,Microsoft Windows 10 Pro Education , 64-bit	 ,1		 ,	 ,user session expired	 ,success	 ,	 ,4.70E+18	 ,	 ,0	 ,Student-GW	 ,7.00E+18	 ,0x8000000000000000
